16-03-2014 10:34:32 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) | URL: /index.php?id=5&page=jucatori%20and%20sleep%284%29%20 | Referer: no referer

16-03-2014 10:34:34 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) | URL: /index.php?id=5&page=jucatori%27%3bselect%20pg_sleep%284%29%3b%20--%20 | Referer: no referer

16-03-2014 10:34:46 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) | URL: /index.php?id=4&page=jucatori%27%20and%20sleep%284%29%3d%27 | Referer: no referer

16-03-2014 10:34:47 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) | URL: /index.php?id=4&page=jucatori%27%20and%20%28sleep%284%29%2b1%29%20limit%201%20--%20 | Referer: no referer

16-03-2014 10:34:48 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) | URL: /index.php?id=4&page=jucatori%22%20and%20sleep%284%29%3d%22 | Referer: no referer

16-03-2014 10:34:54 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) | URL: /index.php?id=4&page=jucatori%20and%20sleep%284%29%20 | Referer: no referer

16-03-2014 10:34:56 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) | URL: /index.php?id=4&page=jucatori%27%3bselect%20pg_sleep%284%29%3b%20--%20 | Referer: no referer

16-03-2014 10:35:08 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) | URL: /index.php?id=2&page=jucatori%27%20and%20sleep%284%29%3d%27 | Referer: no referer

16-03-2014 10:35:09 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) | URL: /index.php?id=2&page=jucatori%27%20and%20%28sleep%284%29%2b1%29%20limit%201%20--%20 | Referer: no referer

16-03-2014 10:35:10 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) | URL: /index.php?id=2&page=jucatori%22%20and%20sleep%284%29%3d%22 | Referer: no referer

16-03-2014 10:35:15 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) | URL: /index.php?id=2&page=jucatori%20and%20sleep%284%29%20 | Referer: no referer

16-03-2014 10:35:17 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) | URL: /index.php?id=2&page=jucatori%27%3bselect%20pg_sleep%284%29%3b%20--%20 | Referer: no referer

17-03-2014 17:23:13 | Bots attack | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11 RPT-HTTPClient/0.3-3 | URL: /? | Referer: no referer

18-03-2014 12:04:57 | Bots attack | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11 RPT-HTTPClient/0.3-3 | URL: /Descarcare? | Referer: no referer

19-03-2014 09:54:16 | Bots attack | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11 RPT-HTTPClient/0.3-3 | URL: /index.php?page=advanced | Referer: no referer

19-03-2014 20:11:43 | Bots attack | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11 RPT-HTTPClient/0.3-3 | URL: /Recuperare? | Referer: no referer

20-03-2014 17:44:12 | Bots attack | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11 RPT-HTTPClient/0.3-3 | URL: /Inregistrare? | Referer: no referer

21-03-2014 21:50:44 | Bots attack | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11 RPT-HTTPClient/0.3-3 | URL: /mmo/Inregistrare? | Referer: no referer

22-03-2014 01:24:22 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 | URL: /index.php?page=jucatori%27%20aNd%20%277%27=%277 | Referer: no referer

22-03-2014 01:24:24 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 | URL: /index.php?page=jucatori%27%20aNd%20%277%27=%272 | Referer: no referer

22-03-2014 01:24:29 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 | URL: /?page=jucatori&id=2%20aNd%207=7 | Referer: no referer

